Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Neftali Feliz","6 Tms",35,35,0,9,1,1,0,0,0,3,0,0,10,0.28125,0.342857142,0.375,0.3162491525922503,18
"Total","Xavier Cedeno","2 Tms",7,7,0,4,1,0,0,0,0,0,0,0,0,0.571428571,0.571428571,0.714285714,0.5509665778705052,36
"Total","Rafael Betancourt","COL",3,3,0,1,0,0,0,0,0,0,0,0,2,0.333333333,0.333333333,0.333333333,0.2936079502105713,177
"Total","Bartolo Colon","2 Tms",2,2,0,1,1,0,0,0,0,0,0,0,1,0.5,0.5,1,0.6281352639198303,375
"Total","Fernando Rodney","8 Tms",130,136,1.40625,28,2,0,5,5,5,10,0,2,42,0.225806451,0.294117647,0.362903225,0.29056086917133894,494
"Total","Jason Grilli","3 Tms",40,44,1.92857143,13,2,0,2,2,2,2,0,0,14,0.309523809,0.34090909,0.5,0.36072638766332105,521
"Total","Jeremy Affeldt","SFG",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583
"Total","Rhiner Cruz","TOR",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711
"Total","LaTroy Hawkins","2 Tms",9,9,0,2,0,0,0,0,0,1,0,0,2,0.25,0.333333333,0.25,0.2720545265409682,729
"Total","Kyle Lohse","MIL",3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,739
"Total","Todd Frazier","NYM",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,785
"Total","Randy Choate","STL",3,3,0,1,0,0,0,0,0,0,0,0,1,0.333333333,0.333333333,0.333333333,0.2936079502105713,813
"Total","Scott Carroll","CHW",6,7,4.5,1,0,0,1,1,1,0,0,0,3,0.142857142,0.142857142,0.571428571,0.2950420379638672,888
"Total","Joe Beimel","SEA",4,4,0,2,1,0,0,0,0,1,0,0,1,0.666666666,0.75,1,0.705984354019165,979
"Total","Ryan Vogelsong","SFG",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1011
"Total","Jake Peavy","SFG",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1051
"Total","Rafael Soriano","CHC",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1100
"Total","Marco Estrada","TOR",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118
"Total","Jerome Williams","2 Tms",4,4,0,1,1,0,0,0,0,0,0,0,1,0.25,0.25,0.5,0.31406763195991516,1137
"Total","Tommy Hunter","5 Tms",30,30,0,3,0,0,0,0,0,5,0,0,5,0.12,0.266666666,0.12,0.20294055541356404,1157
"Total","Andrew Romine","2 Tms",2,3,27.00000027,2,0,0,1,1,1,0,0,0,0,0.666666666,0.666666666,1.666666666,0.9618579745292664,1159
"Total","Matt Bush","2 Tms",38,40,2.07692308,13,2,0,2,2,2,0,0,0,8,0.325,0.325,0.525,0.36103027164936063,1246
"Total","Adam Ottavino","4 Tms",76,77,0.5,9,1,0,1,1,1,10,0,3,26,0.142857142,0.289473684,0.206349206,0.2434597383988531,1247
"Total","Blake Wood","2 Tms",19,19,0,0,0,0,0,0,0,2,0,0,6,0,0.105263157,0,0.07269600190614399,1345
"Total","Nick Hagadone","CLE",1,2,27.00000027,1,0,0,1,1,1,0,0,0,0,0.5,0.5,2,1.0326471328735352,1351
"Total","Andrew Bailey","2 Tms",11,12,0,3,0,1,0,0,0,0,0,0,2,0.25,0.25,0.416666666,0.2771780590216319,1368
"Total","Charlie Furbush","SEA",3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1370
"Total","Joaquin Benoit","4 Tms",15,15,0,0,0,0,0,0,0,2,0,0,5,0,0.133333333,0,0.09198913971583049,1437
