Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Neftali Feliz","5 Tms",18,28,12.15000001,8,0,0,10,9,0,3,1,0,2,0.333333333,0.392857142,0.333333333,0.3115183843506707,18
"Total","Xavier Cedeno","2 Tms",7,7,15.42857145,2,0,0,4,4,0,0,0,0,1,0.333333333,0.285714285,0.333333333,0.25166395732334684,36
"Total","Rafael Betancourt","COL",2,2,13.49999993,0,0,0,1,1,0,0,0,0,0,0,0,0,0,177
"Total","Bartolo Colon","NYM",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,375
"Total","Fernando Rodney","7 Tms",47,65,13.50000001,14,1,0,25,21,2,9,2,1,12,0.269230769,0.369230769,0.403846153,0.3249255172790043,494
"Total","Jason Grilli","3 Tms",17,16,22.5,2,0,0,11,10,1,1,0,1,5,0.181818181,0.25,0.454545454,0.27245932072401047,521
"Total","Jeremy Affeldt","SFG",5,7,4.5,1,0,0,1,1,0,1,0,0,1,0.166666666,0.285714285,0.166666666,0.22395241260528564,583
"Total","LaTroy Hawkins","2 Tms",5,6,5.39999999,1,0,1,1,1,0,0,0,0,3,0.166666666,0.166666666,0.5,0.2656954328219096,729
"Total","Kyle Lohse","MIL",1,3,0,0,0,0,0,0,0,2,1,0,1,0,0.666666666,0,0.3434215188026428,739
"Total","Randy Choate","STL",1,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,813
"Total","Joe Beimel","SEA",3,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,979
"Total","Aaron Thompson","MIN",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999
"Total","Ryan Vogelsong","2 Tms",2,2,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0.34530600905418396,1011
"Total","Rafael Soriano","CHC",1,1,9,1,0,0,1,1,1,0,0,0,0,1,1,4,2.0652942657470703,1100
"Total","Marco Estrada","TOR",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118
"Total","Joe Nathan","SFG",1,2,0,2,1,0,0,0,0,0,0,0,0,1,1,1.5,1.0602368414402008,1122
"Total","Jerome Williams","2 Tms",2,4,13.50000014,1,0,0,1,1,0,0,0,0,0,0.333333333,0.25,0.333333333,0.22020596265792847,1137
"Total","Tommy Hunter","5 Tms",9,12,19.2857144,4,0,0,5,5,0,0,0,0,1,0.333333333,0.333333333,0.333333333,0.2934104750553767,1157
"Total","Andrew Romine","DET",1,3,0,1,0,0,0,0,0,1,0,0,0,1,0.666666666,1,0.523220956325531,1159
"Total","Albert Pujols","STL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177
"Total","Matt Bush","2 Tms",16,23,19.28571431,7,3,0,12,10,0,2,0,0,2,0.368421052,0.391304347,0.526315789,0.3752981035605721,1246
"Total","Adam Ottavino","4 Tms",29,34,6.00000001,7,1,0,8,6,0,2,1,0,17,0.225806451,0.264705882,0.258064516,0.21863612261685458,1247
"Total","Blake Wood","CIN",5,7,4.5,1,0,0,1,1,0,0,0,1,3,0.166666666,0.285714285,0.166666666,0.2284696868487767,1345
"Total","Nick Hagadone","CLE",3,4,9,1,0,0,1,1,0,1,0,0,1,0.333333333,0.5,0.333333333,0.3919167220592499,1351
"Total","Andrew Bailey","2 Tms",4,3,40.50000041,1,0,0,3,3,1,0,0,0,1,0.333333333,0.333333333,1.333333333,0.671586275100708,1368
"Total","Joaquin Benoit","3 Tms",3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1437
