Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
"Total","Neftali Feliz","DET",0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,18
"Total","Xavier Cedeno","TBR",0.1,4,1,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0,0,1,36
"Total","Zach Phillips","PIT",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
"Total","Randy Choate","STL",0.1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,813
"Total","Scott Carroll","CHW",0.2,3,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0.66666667,0.33333333,0,0.33333333,0.66666667,0,888
"Total","Ryan Vogelsong","2 Tms",0.2,2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1011
"Total","Jerome Williams","STL",0,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1137
"Total","Tommy Hunter","2 Tms",0.1,2,1,0,0.5,0.5,0,0,0,0,0,0,1,0,1,0,1157
"Total","Matt Bush","TEX",0.1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1246
"Total","Adam Ottavino","2 Tms",1,3,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1247
"Total","Blake Wood","CIN",0.2,2,2,0,1,0,0,0,0,0,0.5,0.5,0,1,0,0,1345
"Total","Nick Hagadone","CLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1351
"Total","Andrew Bailey","PHI",0.1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1368
"Total","Jon Edwards","TEX",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1483
"Total","Oliver Perez","WSN",0.1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1514
"Total","Sean Doolittle","SEA",0.1,2,0,0.5,0,0.5,0,0,0,0,0,1,0,0,1,0,1581
"Total","Matt Belisle","MIN",1,3,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0.33333333,0.33333333,0.33333333,0.33333333,0,0.66666667,1837
"Total","Ryan Madson","KCR",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1852
"Total","Matt Thornton","WSN",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1918
"Total","Cory Luebke","PIT",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984
"Total","Jorge De La Rosa","2 Tms",1.2,7,0.5,0.25,0.25,0.5,0,0,0,0,0.5,0.25,0.25,0,0.75,0.25,2047
"Total","Adam Loewen","PHI",0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,2134
"Total","Chad Qualls","COL",0.1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2170
"Total","Blaine Boyer","2 Tms",0.1,2,0,0,0,1,0,0.5,0,0,0.5,0,0.5,0,0.5,0.5,2237
"Total","Brandon Gomes","TBR",0.2,3,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0.33333333,0.33333333,0.33333333,0,0.33333333,0.66666667,2267
"Total","Hector Rondon","CHC",0.1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2391
"Total","Brian Matusz","BAL",0.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2646
"Total","Brett Cecil","STL",0.1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2660
"Total","Santiago Casilla","OAK",0.1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,2873
"Total","Zach McAllister","2 Tms",1,5,2,0,0.666666666,0.333333333,0,0,0.5,0,0,1,0,0,0.66666667,0.33333333,2895
"Total","Tim Collins","2 Tms",0.2,3,2,0,0.666666666,0.333333333,0,0,0.5,0,0.66666667,0.33333333,0,0.33333333,0.33333333,0.33333333,3164
"Total","David Price","LAD",0.1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,3184
"Total","Will Harris","WSN",0.2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3192
"Total","Francisco Liriano","2 Tms",0.2,3,0,0.5,0,0.5,0,0,0,0,0,0.5,0.5,0,0.5,0.5,3201
"Total","T.J. McFarland","BAL",0.1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3237
"Total","Zack Britton","NYY",0.1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,3240
"Total","Angel Castro","OAK",0.1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3243
"Total","Joe Smith","4 Tms",1.1,5,0,0.5,0,0.5,0,0,0,0,0.5,0.5,0,0,0,1,3281
"Total","Anibal Sanchez","DET",0.1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,3284
"Total","Chris Hatcher","LAD",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3299
"Total","Darren O'Day","BAL",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3321
"Total","Jumbo Diaz","2 Tms",0.2,3,1,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0,0,1,3397
"Total","Danny Duffy","KCR",0.1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,3542
"Total","Liam Hendriks","2 Tms",2,6,0,0,0,1,0,0,0,0,0,0.66666667,0.33333333,0.33333333,0,0.66666667,3548
"Total","Tony Barnette","TEX",1.1,6,0.25,0,0.2,0.8,0,0,1,0,0.4,0.4,0.2,0,0.8,0.2,3555
"Total","Zach Duke","2 Tms",1,4,0,0.5,0,0.5,0,0,0,0,0,0.5,0.5,0,1,0,3840
"Total","Brett Oberholtzer","2 Tms",1,3,2,0.333333333,0.666666666,0,0,0,0,0,0.66666667,0.33333333,0,0,1,0,3855
"Total","Casey Fien","MIN",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3926
"Total","Allen Webster","CHC",0.1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,3993
"Total","Marcus Hatley","STL",0.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4002
"Total","Yusmeiro Petit","2 Tms",1.1,4,1,0,0.5,0.5,0,0,0,0,1,0,0,0,1,0,4020
"Total","Hector Santiago","CHW",0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,4026
"Total","Steve Johnson","SEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4053
"Total","Brian Duensing","2 Tms",1.1,4,0.5,0,0.333333333,0.666666666,0,0,0,0,0.33333333,0.33333333,0.33333333,0,0.66666667,0.33333333,4064
"Total","Pedro Strop","CHC",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4070
"Total","Junichi Tazawa","MIA",0.2,4,0.5,0.25,0.25,0.5,0,0.5,0,0,0.25,0.25,0.5,0,0.75,0.25,4079
"Total","James Russell","CHC",0.1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,4089
"Total","Carlos Villanueva","SDP",0.1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4138
"Total","Derek Holland","SFG",0.1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,4141
"Total","Edward Paredes","LAD",0.1,2,0,0.5,0,0.5,0,1,0,0,0.5,0.5,0,0,0.5,0.5,4168
"Total","Rafael Dolis","TOR",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4185
"Total","David Hernandez","CIN",0.2,2,1,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0,0.5,0.5,4259
"Total","Mark Melancon","2 Tms",0.2,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,4264
