Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
"Total","Neftali Feliz","2 Tms",0.2,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,18
"Total","Randy Choate","STL",0.1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,813
"Total","Scott Carroll","CHW",0.2,2,0,0,0,1,0.5,0,0,0,0,0,1,1,0,0,888
"Total","Aaron Thompson","MIN",0.1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,999
"Total","Ryan Vogelsong","PIT",0.1,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1011
"Total","Tommy Hunter","NYM",0.1,2,1,0.5,0.5,0,0,0,0,0,0.5,0.5,0,1,0,0,1157
"Total","Adam Ottavino","2 Tms",0.1,7,1.5,0.166666666,0.5,0.333333333,0,0.5,0.333333333,0,0.5,0.33333333,0.16666667,0.33333333,0.33333333,0.33333333,1247
"Total","Blake Wood","2 Tms",0.2,3,1,0,0.5,0.5,0,0,0,0,1,0,0,0,0.5,0.5,1345
"Total","Oliver Perez","WSN",1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1514
"Total","Neal Cotts","MIL",0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1797
"Total","Matt Belisle","MIN",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1837
"Total","Edwin Jackson","CHC",0.1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1841
"Total","David Aardsma","ATL",0.1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1902
"Total","Jorge De La Rosa","CHC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2047
"Total","Chien-Ming Wang","KCR",0.1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,2074
"Total","Chad Qualls","COL",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2170
"Total","Blaine Boyer","3 Tms",1,3,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0,1,0,0,0.66666667,0.33333333,2237
"Total","Brandon Gomes","TBR",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2267
"Total","Jhoulys Chacin","COL",0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2608
"Total","Brian Matusz","BAL",0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,2646
"Total","Brett Cecil","STL",0.1,2,0,0.5,0,0.5,1,0,0,0,0.5,0,0.5,0.5,0,0.5,2660
"Total","Santiago Casilla","OAK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2873
"Total","Luis Avilan","2 Tms",0.2,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1,2882
"Total","Zach McAllister","2 Tms",0.2,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2895
"Total","Tony Watson","LAD",0.2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,3132
"Total","David Price","LAD",0.1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,3184
"Total","Will Harris","2 Tms",1.1,5,1,0,0.5,0.5,0,0,0,0,0.5,0.25,0.25,0,0.75,0.25,3192
"Total","Chris Young","KCR",0,2,0,0.5,0,0.5,0,0,0,0,1,0,0,0,0,1,3196
"Total","T.J. McFarland","3 Tms",1.2,4,3,0,0.75,0.25,0,0,0,0,0,0.75,0.25,0.5,0.5,0,3237
"Total","Zack Britton","NYY",0.1,2,0,0,0,1,1,0,0,0,0,0,1,1,0,0,3240
"Total","Joe Smith","TOR",0.1,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3281
"Total","Anibal Sanchez","DET",0.1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,3284
"Total","Chris Hatcher","LAD",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3299
"Total","Darren O'Day","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3321
"Total","Cesar Ramos","LAA",0.1,2,1,0,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0.5,0.5,3357
"Total","Jumbo Diaz","CIN",0.1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,3397
"Total","Danny Duffy","KCR",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3542
"Total","Clay Buchholz","BOS",0.1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,3543
"Total","Liam Hendriks","2 Tms",1.1,3,1,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0,1,0,3548
"Total","Tony Barnette","TEX",1,3,0,0,0,1,0,0,0,0,0,0.5,0.5,0,0.5,0.5,3555
"Total","Zach Duke","CHW",0.1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3840
"Total","Yusmeiro Petit","2 Tms",0.2,2,0,0,0,1,1,0,0,0,0,1,0,1,0,0,4020
"Total","Hector Santiago","CHW",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4026
"Total","Brian Duensing","2 Tms",1.1,3,0,0.333333333,0,0.666666666,0.5,0,0,0,0,0,1,0.66666667,0,0.33333333,4064
"Total","Pedro Strop","CHC",0.1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,4070
"Total","Junichi Tazawa","MIA",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4079
"Total","Erik Cordier","MIA",0.1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4086
"Total","Luke Gregerson","STL",1.1,2,2,0,1,0,0,0,0,0,0.5,0.5,0,0,1,0,4090
"Total","Derek Holland","DET",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4141
"Total","Edward Paredes","LAD",0.1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,4168
"Total","David Hernandez","CIN",0.1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4259
"Total","Manny Parra","CIN",0.1,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,4279
"Total","Matt Albers","2 Tms",0.2,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,4300
"Total","Justin Wilson","NYY",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4301
"Total","Jonathon Niese","NYM",0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4424
"Total","Jeff Francis","TOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4684
"Total","Nate Jones","2 Tms",0.1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1,4696
"Total","Mike Montgomery","2 Tms",1,2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,4869
"Total","Peter Moylan","2 Tms",0.2,4,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0.66666667,0.33333333,0,0,0.66666667,0.33333333,4891
"Total","Justin De Fratus","PHI",1,2,0,0.5,0,0.5,0,0,0,0,0.5,0.5,0,0,0,1,4955
"Total","Fernando Salas","3 Tms",1.1,4,0.333333333,0,0.25,0.75,0,0,0,0,0.5,0.25,0.25,0.25,0.25,0.5,4971
"Total","Fernando Abad","2 Tms",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4994
"Total","Jake Diekman","3 Tms",0.2,2,1,0,0.5,0.5,0,0,0,0,0,0,1,0,0.5,0.5,5003
"Total","Dale Thayer","SDP",0.1,2,0,0,0,1,0,0.5,0,0,0.5,0.5,0,0.5,0,0.5,5032
"Total","Josh Fields","2 Tms",0.1,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,5070
"Total","Jeurys Familia","NYM",0.1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,5114
"Total","Wade LeBlanc","2 Tms",0.1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,5221
"Total","Wilmer Font","TOR",0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,5257
"Total","Jose Alvarez","3 Tms",2.1,6,3,0.2,0.6,0.2,0,0,0,0,0.4,0.4,0.2,0.2,0.6,0.2,5358
"Total","Manny Banuelos","PIT",0.1,3,1,0,1,0,0,0,1,0,0,1,0,1,0,0,5365
"Total","Brad Peacock","HOU",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5401
"Total","Pedro Baez","LAD",1.1,4,3,0,0.75,0.25,0,0,0,0,0,0.5,0.5,0.5,0.5,0,5420
"Total","Jesse Chavez","4 Tms",1.2,5,1,0.333333333,0.333333333,0.333333333,1,1,0,0,0.66666667,0,0.33333333,0.33333333,0.33333333,0.33333333,5448
"Total","Boone Logan","CLE",0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,5525
"Total","Ryan Brasier","2 Tms",1.1,3,0,0.666666666,0,0.333333333,0,0,0,0,0,1,0,0,0.33333333,0.66666667,5615
"Total","Tyler Clippard","HOU",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5640
"Total","Junior Guerra","2 Tms",0.2,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,5702
"Total","Eric O'Flaherty","ATL",0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,5746
"Total","Bruce Rondon","CHW",0.1,2,0,0.5,0,0.5,0,0,0,0,0.5,0,0.5,0,0.5,0.5,5766
"Total","Jhan Marinez","PIT",0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,5830
"Total","Jason Motte","ATL",0,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,5861
"Total","Randall Delgado","ARI",0.1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,5985
"Total","Kelvin Herrera","CHW",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6033
"Total","Huascar Brazoban","MIA",1,3,1,0,0.5,0.5,0,0,0,0,1,0,0,0.5,0,0.5,6107
