Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
"Total","Neftali Feliz","2 Tms",1.1,4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,18
"Total","Xavier Cedeno","3 Tms",3.1,13,3.5,0,0.777777777,0.222222222,0,0.5,0.285714285,0,0.55555556,0.44444444,0,0.44444444,0.22222222,0.33333333,36
"Total","Rafael Betancourt","COL",0.1,2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,177
"Total","Jeremy Affeldt","SFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583
"Total","LaTroy Hawkins","TOR",0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,729
"Total","Randy Choate","STL",0.1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,813
"Total","Scott Carroll","CHW",1.1,7,0.666666666,0,0.4,0.6,0.666666666,0,0.5,0,0.4,0,0.6,0.8,0.2,0,888
"Total","Randy Wolf","DET",0.1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,976
"Total","Joe Beimel","SEA",0,2,1,0,1,0,0,0,0,0,0,1,0,0,1,0,979
"Total","Aaron Thompson","MIN",0.2,2,0,0,0,1,0,0,0,0,0,1,0,0,0.5,0.5,999
"Total","Ryan Vogelsong","2 Tms",1.1,7,2,0.4,0.4,0.2,0,0,0,0,0.6,0.2,0.2,0,0.6,0.4,1011
"Total","Jake Peavy","SFG",0.2,4,0,0.5,0,0.5,0,1,0,0,1,0,0,0,1,0,1051
"Total","Joe Nathan","CHC",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122
"Total","Jerome Williams","2 Tms",0.2,2,2,0,1,0,0,0,0,0,1,0,0,0,1,0,1137
"Total","Tommy Hunter","6 Tms",6,24,3,0.238095238,0.571428571,0.19047619,0.25,0,0.083333333,0,0.52380952,0.23809524,0.23809524,0.19047619,0.47619048,0.33333333,1157
"Total","Matt Bush","TEX",1,3,0,0.666666666,0,0.333333333,0,0,0,0,0.33333333,0,0.66666667,0,0.33333333,0.66666667,1246
"Total","Adam Ottavino","3 Tms",5,26,1,0.25,0.375,0.375,0,0.166666666,0.166666666,0,0.3125,0.3125,0.375,0.1875,0.625,0.1875,1247
"Total","Blake Wood","2 Tms",5,21,7,0.333333333,0.583333333,0.083333333,0,0,0,0,0.5,0.33333333,0.16666667,0,0.83333333,0.16666667,1345
"Total","Nick Hagadone","CLE",0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1351
"Total","Andrew Bailey","PHI",0.2,2,1,0,0.5,0.5,0,0,0,0,0,1,0,0,0.5,0.5,1368
"Total","Joaquin Benoit","2 Tms",0.2,4,1,0,0.5,0.5,0,1,0,0,0.5,0.5,0,0,0,1,1437
"Total","Oliver Perez","3 Tms",5,15,2.5,0.125,0.625,0.25,0,0,0,0,0.22222222,0.44444444,0.33333333,0.11111111,0.66666667,0.22222222,1514
"Total","Sean Doolittle","3 Tms",2.1,10,2,0.5,0.333333333,0.166666666,0,0,0,0,0.66666667,0.16666667,0.16666667,0,0.5,0.5,1581
"Total","Javier Lopez","SFG",0.2,2,2,0,1,0,0,0,0,0,1,0,0,0.5,0.5,0,1663
"Total","Chris Capuano","MIL",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1701
"Total","Neal Cotts","2 Tms",2,9,2,0.4,0.4,0.2,0,0,0,0,0.2,0.8,0,0,0.4,0.6,1797
"Total","Matt Belisle","3 Tms",2,5,2,0,1,0,0,0,0,0,0.5,0.5,0,0.5,0,0.5,1837
"Total","Edwin Jackson","2 Tms",1.2,9,1.333333333,0.125,0.5,0.375,0.333333333,0,0.25,0,0.375,0.5,0.125,0.375,0.5,0.125,1841
"Total","Ryan Madson","2 Tms",1.2,10,2,0.25,0.5,0.25,0,0,0.5,0,0.375,0.625,0,0.125,0.75,0.125,1852
"Total","Matt Moore","4 Tms",1.1,5,0,0.333333333,0,0.666666666,0,0,0,0,0,0.66666667,0.33333333,0,0.66666667,0.33333333,1890
